0,1,2,3,4,5,6,7
160.19,160.78,161.91,162.6,163.84,166.12,165.66,165.92
160.78,161.91,162.6,163.84,166.12,165.66,165.92,165.88
161.91,162.6,163.84,166.12,165.66,165.92,165.88,165.77
162.6,163.84,166.12,165.66,165.92,165.88,165.77,164.48
163.84,166.12,165.66,165.92,165.88,165.77,164.48,164.65
166.12,165.66,165.92,165.88,165.77,164.48,164.65,164.7
165.66,165.92,165.88,165.77,164.48,164.65,164.7,164.84
165.92,165.88,165.77,164.48,164.65,164.7,164.84,164.56
165.88,165.77,164.48,164.65,164.7,164.84,164.56,161.63
165.77,164.48,164.65,164.7,164.84,164.56,161.63,160.2
164.48,164.65,164.7,164.84,164.56,161.63,160.2,157.73
164.65,164.7,164.84,164.56,161.63,160.2,157.73,157.53
164.7,164.84,164.56,161.63,160.2,157.73,157.53,156.79
164.84,164.56,161.63,160.2,157.73,157.53,156.79,156.385
164.56,161.63,160.2,157.73,157.53,156.79,156.385,156.81
161.63,160.2,157.73,157.53,156.79,156.385,156.81,157.84
160.2,157.73,157.53,156.79,156.385,156.81,157.84,157.55
157.73,157.53,156.79,156.385,156.81,157.84,157.55,157.31
157.53,156.79,156.385,156.81,157.84,157.55,157.31,157.94
156.79,156.385,156.81,157.84,157.55,157.31,157.94,156.5
156.385,156.81,157.84,157.55,157.31,157.94,156.5,156.82
156.81,157.84,157.55,157.31,157.94,156.5,156.82,156.3
157.84,157.55,157.31,157.94,156.5,156.82,156.3,156.19
157.55,157.31,157.94,156.5,156.82,156.3,156.19,155.78
157.31,157.94,156.5,156.82,156.3,156.19,155.78,154.7
157.94,156.5,156.82,156.3,156.19,155.78,154.7,158.54
156.5,156.82,156.3,156.19,155.78,154.7,158.54,157.51
156.82,156.3,156.19,155.78,154.7,158.54,157.51,159.07
156.3,156.19,155.78,154.7,158.54,157.51,159.07,157.4
156.19,155.78,154.7,158.54,157.51,159.07,157.4,156.6
155.78,154.7,158.54,157.51,159.07,157.4,156.6,157.35
154.7,158.54,157.51,159.07,157.4,156.6,157.35,157.18
158.54,157.51,159.07,157.4,156.6,157.35,157.18,157.17
157.51,159.07,157.4,156.6,157.35,157.18,157.17,156.85
159.07,157.4,156.6,157.35,157.18,157.17,156.85,157.15
157.4,156.6,157.35,157.18,157.17,156.85,157.15,154.43
156.6,157.35,157.18,157.17,156.85,157.15,154.43,154.29
157.35,157.18,157.17,156.85,157.15,154.43,154.29,153.4
157.18,157.17,156.85,157.15,154.43,154.29,153.4,153.72
